date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:02	15516/15516	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223c9c-566aa9ee78600%22	http://avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Regular.woff	E:/pichar.io/avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Regular.woff	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:03	38463/38463	---M--	200	added ('OK')	image/png	etag:%22963f-54d482195c200%22	http://avehtml.liquid-themes.com/assets/vendors/fresco/fresco-skins/sprite.png	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/fresco/fresco-skins/sprite.png	(from http://avehtml.liquid-themes.com/assets/css/theme-vendors.min.css)
21:20:03	14920/14920	---MCZ	200	added ('OK')	application/font-woff	etag:W/%223a48-566aa9ee78600%22	http://avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Bold.woff	E:/pichar.io/avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Bold.woff	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:03	2091/2091	---M--	200	added ('OK')	image/jpeg	etag:%2282b-576c6339bbd40%22	http://avehtml.liquid-themes.com/assets/img/misc/browser-bar.jpg	E:/pichar.io/avehtml.liquid-themes.com/assets/img/misc/browser-bar.jpg	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:04	165548/165548	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22286ac-55a81fa4a2f00%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css)
21:20:04	694/694	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222b6-57a75ebd63680%22	http://avehtml.liquid-themes.com/assets/img/spinners/spinner-4-light.svg	E:/pichar.io/avehtml.liquid-themes.com/assets/img/spinners/spinner-4-light.svg	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:04	13782/13782	---M--	200	added ('OK')	image/gif	etag:%2235d6-57751816cc9c0%22	http://avehtml.liquid-themes.com/assets/img/spinners/spinner-1.gif	E:/pichar.io/avehtml.liquid-themes.com/assets/img/spinners/spinner-1.gif	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:05	10294/10294	---M--	200	added ('OK')	image/gif	etag:%222836-56b368e4759c0%22	http://avehtml.liquid-themes.com/assets/img/spinners/spinner-2.gif	E:/pichar.io/avehtml.liquid-themes.com/assets/img/spinners/spinner-2.gif	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:07	1234/1234	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202020%2015:50:08%20GMT	https://use.typekit.net/qxb8htk.css	E:/pichar.io/use.typekit.net/qxb8htk.css	(from http://avehtml.liquid-themes.com/index.html)
21:20:07	2410/2410	---MCZ	200	added ('OK')	text/css	etag:W/%22b7d-5918c16970c00%22	http://avehtml.liquid-themes.com/assets/css/themes/original.css	E:/pichar.io/avehtml.liquid-themes.com/assets/css/themes/original.css	(from http://avehtml.liquid-themes.com/index.html)
